sample_size,fold,accuracy,balanced_accuracy,macro_f1,best_epoch
5000,1,0.21595680863827235,0.2,0.0710409472126295,1
5000,2,0.21595680863827235,0.2,0.0710409472126295,1
5000,3,0.22028811524609843,0.2086714975845411,0.08941171723896198,1
10000,1,0.22315536892621476,0.2,0.07297694948504169,1
10000,2,0.2232223222322232,0.2,0.07299484915378955,1
10000,3,0.23372337233723373,0.22057275310303576,0.11113566713814241,1
20000,1,0.2216889155542223,0.2,0.07258440761203191,1
20000,2,0.2216889155542223,0.2,0.07258440761203191,1
20000,3,0.2815781578157816,0.31001353179972935,0.1680255058160747,3
30000,1,0.6745,0.7178108495806491,0.6409181750389424,6
30000,2,0.2238,0.2,0.07314920738682791,1
30000,3,0.6334,0.6783321290312763,0.6245040516286122,6
